pivot,sl_mult,tp_mult,tf_filter,trades,winrate,pnl
9,2.0,1.0,4h,3301,57.473519027069436,38841.39486925681
9,2.0,2.0,none,4175,41.188386225523296,111643.76895359223
9,2.0,2.0,1h,3774,24.1991341991342,-33713.07201804438
9,2.0,2.0,4h,3301,31.08685334598956,15070.345753933536
9,2.0,3.0,none,4175,27.380497131931165,118837.10232110284
9,2.0,3.0,1h,3774,11.693171188026193,-62425.84772749796
9,2.0,3.0,4h,3301,18.0327868852459,6968.299894875786
9,2.0,4.0,none,4175,18.28761429758936,118586.19582585154
9,2.0,4.0,1h,3774,5.913717886572952,-80064.34313420937
9,2.0,4.0,4h,3301,10.247747747747749,-5014.559832988839
11,0.5,1.0,none,4174,54.543263436972765,37471.820315555306
11,0.5,1.0,1h,3761,53.34954078876283,24611.08473562922
11,0.5,1.0,4h,3290,53.3394890735611,21476.15455357396
11,0.5,2.0,none,4174,41.61172161172161,104583.01232188096
11,0.5,2.0,1h,3761,37.24176437744277,48837.21952235935
11,0.5,2.0,4h,3290,38.8149556400507,56894.23818562516
11,0.5,3.0,none,4174,32.11260587942202,126980.4540001457
11,0.5,3.0,1h,3761,25.626259717823206,27869.463171401705
11,0.5,3.0,4h,3290,28.14838919622519,53359.076493788445
11,0.5,4.0,none,4174,25.956907477820025,142976.52937184926
11,0.5,4.0,1h,3761,19.193405946423315,17955.28758647694
11,0.5,4.0,4h,3290,21.92282102461743,55294.866168222456
11,1.0,1.0,none,4174,71.76794198549638,174886.45599230065
11,1.0,1.0,1h,3761,66.0932944606414,112184.30033533176
11,1.0,1.0,4h,3290,67.33486690765692,106145.03196626194
11,1.0,2.0,none,4174,51.35497719345318,218603.98776965338
11,1.0,2.0,1h,3761,40.97988319273199,91686.22198959417
11,1.0,2.0,4h,3290,44.56089627755692,109625.1395079396
11,1.0,3.0,none,4174,38.20998278829604,231071.46836487082
11,1.0,3.0,1h,3761,25.724258289703315,54030.810046950835
11,1.0,3.0,4h,3290,30.074016361511493,92785.15977496546
11,1.0,4.0,none,4174,29.114694250076056,236544.79514885653
11,1.0,4.0,1h,3761,16.80672268907563,24082.92328591041
11,1.0,4.0,4h,3290,20.874587458745875,78109.0355118881
11,1.5,1.0,none,4174,68.26331281776827,139621.47796665755
11,1.5,1.0,1h,3761,59.23753665689149,60011.21455154914
11,1.5,1.0,4h,3290,62.861271676300575,72662.04448600754
11,1.5,2.0,none,4174,46.07664233576642,158649.37506193947
11,1.5,2.0,1h,3761,31.755725190839694,16890.355134745914
11,1.5,2.0,4h,3290,37.888463175819496,58897.212546036535
11,1.5,3.0,none,4174,32.004055424129774,161945.04280454628
11,1.5,3.0,1h,3761,17.6056338028169,-18621.003298919313
11,1.5,3.0,4h,3290,23.385195662423385,42680.42267874797
11,1.5,4.0,none,4174,23.18893338187113,169426.25065735052
11,1.5,4.0,1h,3761,10.056350238404855,-40726.04992894188
11,1.5,4.0,4h,3290,15.257628814407203,34581.214035248064
11,2.0,1.0,none,4174,66.4630599185573,116303.41323525319
11,2.0,1.0,1h,3761,55.526512322628825,31528.07744273922
11,2.0,1.0,4h,3290,59.94318181818182,50747.36152707745
11,2.0,2.0,none,4174,42.56828662646328,123692.07930550167
11,2.0,2.0,1h,3761,26.22425629290618,-17592.517543176047
11,2.0,2.0,4h,3290,32.50758341759353,27133.564152684587
11,2.0,3.0,none,4174,28.133817009270455,127755.3501505175
11,2.0,3.0,1h,3761,12.63681592039801,-47832.54227991308
11,2.0,3.0,4h,3290,18.87955182072829,16188.026775508479
11,2.0,4.0,none,4174,19.401671799384072,134025.50802366203
11,2.0,4.0,1h,3761,6.7946058091286305,-61236.19470409029
11,2.0,4.0,4h,3290,11.25748502994012,8711.226567957663
13,0.5,1.0,none,4157,53.6597188560349,30365.49873826384
13,0.5,1.0,1h,3732,52.17032967032967,16362.893575841674
13,0.5,1.0,4h,3263,52.44777050202681,16449.646096875946
13,0.5,2.0,none,4157,40.167158308751226,86698.63128134796
13,0.5,2.0,1h,3732,36.178055004252904,36262.19178073862
13,0.5,2.0,4h,3263,37.20706260032103,41478.32803770149
13,0.5,3.0,none,4157,32.332332332332335,130674.52713583026
13,0.5,3.0,1h,3732,25.89338019917985,32809.39135034523
13,0.5,3.0,4h,3263,28.132231404958677,55045.94416769981
13,0.5,4.0,none,4157,26.053639846743295,145272.95378021285
13,0.5,4.0,1h,3732,18.61861861861862,12647.240172868602
13,0.5,4.0,4h,3263,21.503555706061633,51365.246427035425
13,1.0,1.0,none,4157,71.75398633257403,172446.21556251514
13,1.0,1.0,1h,3732,66.40811455847255,110936.62063388852
13,1.0,1.0,4h,3263,67.45045347665435,104180.1986890487
13,1.0,2.0,none,4157,53.22933771209633,236666.12169746385
13,1.0,2.0,1h,3732,42.58453297623033,105102.44062414678
13,1.0,2.0,4h,3263,45.95300261096606,118368.79682712417
13,1.0,3.0,none,4157,40.260124150162575,260803.60631783254
13,1.0,3.0,1h,3732,27.66497461928934,77188.28486199674
13,1.0,3.0,4h,3263,31.602434077079106,109279.9169559656
13,1.0,4.0,none,4157,30.657853320742838,263943.78131401254
13,1.0,4.0,1h,3732,17.397998460354117,43006.963119902444
13,1.0,4.0,4h,3263,22.251195132551064,100797.60088047567
13,1.5,1.0,none,4157,70.62975027144408,155465.04923374386
13,1.5,1.0,1h,3732,62.57114161365919,78288.79944227485
13,1.5,1.0,4h,3263,65.27259148618371,83643.39564105411
13,1.5,2.0,none,4157,48.677581863979846,184429.30116820935
13,1.5,2.0,1h,3732,34.930139720558884,43144.93045817782
13,1.5,2.0,4h,3263,39.716312056737586,71863.64217739376
13,1.5,3.0,none,4157,34.02533427163969,185855.36207794407
13,1.5,3.0,1h,3732,18.52836879432624,1310.9873648691628
13,1.5,3.0,4h,3263,25.124131082423037,60019.95836472188
13,1.5,4.0,none,4157,23.90057361376673,184084.0775885291
13,1.5,4.0,1h,3732,10.379981464318814,-26272.91265545026
13,1.5,4.0,4h,3263,15.544871794871796,46104.82822578098
13,2.0,1.0,none,4157,68.62396204033215,129837.3519233707
13,2.0,1.0,1h,3732,58.26620636747219,46023.4640518962
13,2.0,1.0,4h,3263,62.44249268088666,61507.836606985795
13,2.0,2.0,none,4157,44.953789279112755,144508.63272917696
13,2.0,2.0,1h,3732,28.013665202537823,2122.7434384454755
13,2.0,2.0,4h,3263,35.11777301927195,45794.42834942315
13,2.0,3.0,none,4157,29.309614570097416,142925.88341370874
13,2.0,3.0,1h,3732,13.365282215122471,-32247.42528752225
13,2.0,3.0,4h,3263,19.710669077757686,30722.322805085158
13,2.0,4.0,none,4157,20.0,149020.16482737477
13,2.0,4.0,1h,3732,7.427937915742794,-43802.47717454922
13,2.0,4.0,4h,3263,11.832797427652734,23555.073775281144
15,0.5,1.0,none,4138,55.355404089581306,43859.45309520981
15,0.5,1.0,1h,3670,54.966517857142854,36140.88122522587
15,0.5,1.0,4h,3221,54.95580808080808,31630.87705825425
15,0.5,2.0,none,4138,42.57277929833292,116488.48832706898
15,0.5,2.0,1h,3670,38.337723148961075,61628.27111018081
15,0.5,2.0,4h,3221,39.22797756516001,61710.70405200902
15,0.5,3.0,none,4138,33.3843797856049,148865.524705651
15,0.5,3.0,1h,3670,27.69556025369979,58825.871762178875
15,0.5,3.0,4h,3221,29.267461669505963,68937.27882943513
15,0.5,4.0,none,4138,27.018552390906716,167516.20095249693
15,0.5,4.0,1h,3670,20.068344206275242,39487.849408229275
15,0.5,4.0,4h,3221,22.416201117318437,65279.87250675543
15,1.0,1.0,none,4138,73.43589743589743,183296.22825686712
15,1.0,1.0,1h,3670,69.2236313021961,126517.60186317394
15,1.0,1.0,4h,3221,70.66574202496533,120666.80042022826
15,1.0,2.0,none,4138,53.71830985915493,238737.4321269908
15,1.0,2.0,1h,3670,43.74125874125874,112656.91781948332
15,1.0,2.0,4h,3221,48.15246985608712,132876.09577693173
15,1.0,3.0,none,4138,40.396946564885496,260027.56251699047
15,1.0,3.0,1h,3670,28.26585179526356,85006.12471052678
15,1.0,3.0,4h,3221,33.262350936967636,124286.6793035946
15,1.0,4.0,none,4138,32.234076947946974,284186.4504334147
15,1.0,4.0,1h,3670,19.31451612903226,68214.41864757196
15,1.0,4.0,4h,3221,24.72875226039783,124349.05844916974
15,1.5,1.0,none,4138,71.71857619577308,159758.8815729499
15,1.5,1.0,1h,3670,64.04455273233553,84914.79038305479
15,1.5,1.0,4h,3221,67.59366550791812,94148.70418592288
15,1.5,2.0,none,4138,49.54367666232073,189591.28854543227
15,1.5,2.0,1h,3670,35.563973063973066,49263.39276929005
15,1.5,2.0,4h,3221,41.589219330855016,84010.61429480262
15,1.5,3.0,none,4138,35.75868372943327,206000.84604547464
15,1.5,3.0,1h,3670,20.456663560111835,23439.155598851485
15,1.5,3.0,4h,3221,27.798021863612703,82259.63177078636
15,1.5,4.0,none,4138,25.620496397117694,207476.49159671474
15,1.5,4.0,1h,3670,11.61641127039051,-1253.724309856968
15,1.5,4.0,4h,3221,17.843026538678714,71447.81910102488
15,2.0,1.0,none,4138,69.98766193707588,133842.30264901216
15,2.0,1.0,1h,3670,59.886547811993516,50460.26407376262
15,2.0,1.0,4h,3221,64.62284958094398,67751.91965484915
15,2.0,2.0,none,4138,47.02062643239114,157041.8366003107
15,2.0,2.0,1h,3670,30.020597322348095,14238.950982663702
15,2.0,2.0,4h,3221,37.878787878787875,57735.137431123105
15,2.0,3.0,none,4138,30.923694779116467,157098.6254817815
15,2.0,3.0,1h,3670,14.457831325301205,-16044.489641502896
15,2.0,3.0,4h,3221,22.086284610431424,46928.41166834241
15,2.0,4.0,none,4138,20.482520925652388,154569.09515647206
15,2.0,4.0,1h,3670,7.3053892215568865,-35803.28731141553
15,2.0,4.0,4h,3221,13.097713097713097,37573.13432353399
